date,open,high,low,close,volume,log_return,vol_5,vol_20,vol_60,ma_5,ma_20,log_volume,vix,rf_rate,vix_change,rf_daily,fomc_day,fomc_window
2021-09-09,158.27,160.8325,158.08,159.19,7904256,0.0043438640497093,0.0785169618470647,0.1441209293595866,0.208052965112446,159.37000000000003,158.96699999999998,15.882911906549309,18.8,0.0007,0.8399999999999999,2.7777777777777783e-06,0,0
2021-09-10,160.56,160.7193,157.22,157.36,8311551,-0.0115622832862408,0.0926548617803538,0.1480919240468837,0.2090231340882462,158.75,158.7455,15.933156792015346,20.95,0.0008,2.1499999999999986,3.174603174603174e-06,0,0
2021-09-13,158.53,160.05,158.07,159.86,10052807,0.0157622581170693,0.163244121671415,0.1551079542822643,0.2022369915963758,158.824,158.7395,16.12336245695399,19.37,0.0007,-1.5799999999999983,2.7777777777777783e-06,0,0
2021-09-14,160.45,161.34,156.26,157.07,11685606,-0.0176068663429321,0.2091517793340358,0.1658415993720489,0.1983795737731302,158.39600000000002,158.6465,16.27386838597106,19.46,0.0007,0.0899999999999998,2.7777777777777783e-06,0,0
2021-09-15,156.72,158.69,156.47,158.16,11691485,0.0069156130074204,0.2185138403123913,0.1619722163533834,0.1960284455550514,158.328,158.704,16.2743713570314,18.18,0.0007,-1.2800000000000011,2.7777777777777783e-06,0,0
2021-09-16,159.41,160.855,157.22,158.09,10880895,-0.000442687754265,0.2145324796488442,0.1580910084003063,0.1959884756435448,158.108,158.8295,16.20251905703823,18.69,0.0007,0.5100000000000016,2.7777777777777783e-06,0,0
2021-09-17,157.38,159.01,157.0,157.68,25608018,-0.0025968282636315,0.19641942518005,0.1549294135116721,0.1958112151005795,158.17200000000005,158.9995,17.05841606353693,20.81,0.0007,2.119999999999997,2.7777777777777783e-06,0,0
2021-09-20,153.89,154.56,150.49,152.96,15819905,-0.0303912135413735,0.2379909746365016,0.1907198614816888,0.2050777264684799,156.79199999999997,158.9115,16.57677951522886,25.71,0.0007,4.900000000000002,2.7777777777777783e-06,0,0
2021-09-21,153.53,154.55,152.5774,152.98,8999860,0.0001307445906287,0.2299313185089154,0.1842108504402594,0.2040170546650574,155.974,158.7255,16.012719579623948,24.36,0.0007,-1.3500000000000014,2.7777777777777783e-06,0,0
2021-09-22,155.2,157.25,155.1,155.91,11236150,0.0189717237947401,0.2805624402103104,0.1962181101082706,0.2077071468669709,155.524,158.6375,16.234646817063762,20.87,0.0008,-3.4899999999999984,3.174603174603174e-06,0,0
2021-09-23,158.0,161.71,157.67,161.18,12336136,0.033242835207905,0.382346522846308,0.2184468727287704,0.218451839009762,156.142,158.6505,16.328043399367797,18.63,0.0008,-2.240000000000002,3.174603174603174e-06,0,0
2021-09-24,161.44,163.59,160.82,163.04,10102432,0.0114738165780494,0.3803939882083314,0.2215264316358142,0.2189028081221844,157.214,158.715,16.128286744904937,17.75,0.0008,-0.879999999999999,3.174603174603174e-06,0,0
